ID,RoundID,ScheduleID,RealTime,SpawnType,Weight,AnomalyID,Spot,DirectionGroupID,Enabled,DisabledReason
1,1,1,225000,1,334,5,CoffinRoom,0,1,
2,1,1,225000,1,333,6,FuneralRoom,0,1,
3,1,1,225000,1,333,7,FamilyRoom,0,1,
4,1,2,525000,0,0,1,Mortuary,1,1,
5,1,3,825000,1,334,8,CoffinRoom,0,1,
6,1,3,825000,1,333,9,FuneralRoom,0,1,
7,1,3,825000,1,333,10,FamilyRoom,0,1,
8,2,4,225000,1,334,24,Mortuary,0,1,
9,2,4,225000,1,333,12,FuneralRoom,0,1,
10,2,4,225000,1,333,7,FamilyRoom,0,1,
11,2,5,525000,0,0,2,CoffinRoom,2,1,
12,2,6,825000,1,334,13,Mortuary,0,1,
13,2,6,825000,1,333,14,FuneralRoom,0,1,
14,2,6,825000,1,333,15,FamilyRoom,0,1,
15,3,7,225000,1,334,16,CoffinRoom,0,1,
16,3,7,225000,1,333,25,Mortuary,0,1,
17,3,7,225000,1,333,6,FuneralRoom,0,1,
18,3,8,525000,0,0,3,FamilyRoom,3,1,
19,3,9,825000,1,334,8,CoffinRoom,0,1,
20,3,9,825000,1,333,26,Mortuary,0,1,
21,3,9,825000,1,333,9,FuneralRoom,0,1,
22,4,10,225000,1,334,19,FamilyRoom,0,1,
23,4,10,225000,1,333,20,CoffinRoom,0,1,
24,4,10,225000,1,333,11,Mortuary,0,1,
25,4,11,525000,1,334,15,FamilyRoom,0,1,
26,4,11,525000,1,333,22,CoffinRoom,0,1,
27,4,11,525000,1,333,18,Mortuary,0,1,
28,4,12,825000,0,0,4,FuneralRoom,4,1,
